Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit,Paddle acceleration at hit
DL,44.966,1,1,1.420261,0.03910601,YES,1.12891,0.6664708,4.742992
DL,45.478,1,2,1.421432,0.04027677,YES,1.026119,0.8579233,-10.70966
DL,46.013,1,3,1.485785,0.1046305,NO,1.048426,0.8799236,1.328752
DL,46.45,1,4,1.362331,0.01882339,YES,1.121588,0.646112,0.9457613
DL,46.907,1,5,1.369383,0.01177192,YES,1.023883,0.7786633,1.065831
DL,53.908,1,6,1.546112,0.164957,NO,1.077662,1.002316,-2.399765
DL,63.234,2,1,1.295841,0.08531427,NO,1.116187,0.3982072,0.5337657
DL,64.97601,3,1,1.621866,0.2407117,NO,1.287852,0.7786828,19.06275
DL,65.584,3,2,1.640831,0.2596761,NO,1.130807,1.214254,3.062934
DL,66.13,3,3,1.518727,0.1375723,NO,1.129448,0.8183753,-2.233921
DL,66.675,3,4,1.518148,0.1369935,NO,1.064199,0.9081751,-8.069777
DL,67.125,3,5,1.397083,0.01592827,YES,1.144535,0.6431215,-0.2072761
DL,67.663,3,6,1.5008,0.1196449,NO,1.050315,0.8947585,11.14687
DL,68.30801,3,7,1.677447,0.2962921,NO,1.130186,1.008569,17.63811
DL,68.86301,3,8,1.552159,0.1710044,NO,1.097184,0.9076331,4.157295
DL,69.29601,3,9,1.368201,0.0129534,YES,1.144525,0.5529492,15.68326
DL,69.843,3,10,1.486993,0.1058383,NO,1.01205,0.8078508,9.857547
DL,70.631,3,11,1.927033,0.5458784,NO,1.116228,1.15003,11.62485
DL,71.26701,3,12,1.667157,0.2860022,NO,1.11236,1.018939,-9.540771
DL,71.747,3,13,1.448659,0.06750464,NO,1.132377,0.732994,-12.73963
DL,72.35001,3,14,1.607887,0.2267324,NO,1.10452,0.9682782,-1.32835
DL,72.79601,3,15,1.388002,0.006847501,YES,1.118746,0.6618509,7.876047
DL,73.299,3,16,1.430162,0.04900718,YES,1.059522,0.7989183,0.7087388
DL,73.77901,3,17,1.386991,0.005836248,YES,1.080058,0.5976112,2.966754
DL,75.02901,3,18,2.406922,1.025767,NO,1.033355,1.640665,17.8845
DL,79.58801,3,19,1.582602,0.201447,NO,1.187371,0.9565804,-1.704444
DL,84.594,5,1,1.409676,0.02852166,YES,1.165382,0.6365507,-0.6952881
DL,85.04201,5,2,1.337946,0.04320872,YES,1.02986,0.7690069,-5.588861
DL,85.576,5,3,1.494392,0.1132374,NO,1.065213,0.9311735,-4.029869
DL,86.00101,5,4,1.389033,0.007878065,YES,1.131422,0.7036731,0.06558993
DL,86.402,5,5,1.309145,0.0720098,NO,1.114812,0.5747361,-17.79396
DL,86.745,5,6,1.162977,0.2181774,NO,1.017836,0.4544448,-9.060605
DL,87.217,5,7,1.311853,0.0693022,NO,0.9237586,0.7803073,1.271484
DL,87.60001,5,8,1.271391,0.1097639,NO,1.060904,0.6541827,-1.564789
DL,88.255,5,9,1.701879,0.3207238,NO,1.018923,1.170251,-12.15177
DL,88.804,5,10,1.644352,0.2631968,NO,1.182493,1.01042,-4.831453
DL,97.90601,5,11,3.357605,1.976451,NO,1.23323,2.192798,-33.20718
DL,99.579,6,1,1.437118,0.05596304,NO,1.1955,0.6776227,35.50215
DL,100.497,6,2,2.413611,1.032456,NO,1.042677,1.60184,-14.12236
DL,103.167,6,3,2.712056,1.330901,NO,1.525342,1.862353,10.09988
DL,104.784,8,1,1.213646,0.1675084,NO,1.193118,0.3597409,-1.892408
DL,106.395,8,2,1.022142,0.3590126,NO,1.005403,0.316954,-3.912905
DL,111.421,9,1,1.262019,0.1191357,NO,1.166639,0.3599817,9.152892
DL,113.064,10,1,1.396878,0.01572287,YES,1.223354,0.6621925,1.699705
DL,113.928,10,2,2.060803,0.6796479,NO,0.9867636,1.602074,-8.998371
