Participant ID,Time,Trial Number,Number of Bounces,Score,Target Height,Target Radius,Number of Paddles
Megan,100.6547,1,1,3,1.539775,0.05,1
Megan,105.4016,2,3,12,1.539775,0.05,1
Megan,110.8632,3,3,9,1.539775,0.05,1
Megan,118.0233,4,5,56,1.539775,0.05,1
Megan,126.6242,5,4,34,1.539775,0.05,1
Megan,130.1984,6,1,4,1.539775,0.05,1
Megan,135.7836,7,6,24,1.539775,0.05,1
Megan,139.6696,8,3,25,1.539775,0.05,1
Megan,146.2932,9,9,91,1.539775,0.05,1
Megan,150.7229,10,5,31,1.539775,0.05,1
Megan,153.9672,11,2,6,1.539775,0.05,1
Megan,156.9937,12,3,4,1.539775,0.05,1
Megan,164.7451,13,9,75,1.539775,0.05,1
Megan,171.0686,14,7,33,1.539775,0.05,1
Megan,172.988,15,2,10,1.539775,0.05,1
Megan,179.1998,16,5,46,1.539775,0.05,1
Megan,187.9445,17,3,38,1.539775,0.05,1
Megan,193.9651,18,7,25,1.539775,0.05,1
Megan,198.4885,19,3,42,1.539775,0.05,1
Megan,202.6209,20,5,51,1.539775,0.05,1
Megan,211.5456,21,14,101,1.539775,0.05,1
Megan,219.5767,22,12,90,1.539775,0.05,1
Megan,224.7144,23,7,87,1.539775,0.05,1
Megan,231.1259,24,9,112,1.539775,0.05,1
Megan,236.1077,25,5,63,1.539775,0.05,1
Megan,238.7437,26,2,27,1.539775,0.05,1
Megan,243.3684,27,5,35,1.539775,0.05,1
Megan,248.6514,28,7,61,1.539775,0.05,1
Megan,259.1731,29,7,69,1.539775,0.05,1
Megan,263.2942,30,3,52,1.539775,0.05,1
Megan,269.1697,31,7,57,1.539775,0.05,1
Megan,276.9652,32,5,56,1.539775,0.05,1
Megan,279.825,33,2,33,1.539775,0.05,1
Megan,475.0253,34,2,12,1.539775,0.05,1
